Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)
2991	26.7458	-1.677375	-1.02405
2992	26.7458	-1.661708	1.725591
2993	26.7458	-1.114349	-2.809961
2994	26.7458	-1.375253	-1.851829
2995	26.7458	-0.1223523	-2.367789
2996	26.7458	0.9466067	-1.893784
2997	26.7458	-2.106955	-3.125117
2998	26.7458	-0.2323579	2.506301
2999	26.7458	1.160761	3.207026
3000	26.7458	-2.707571	0.1440619
3001	26.7458	-2.064139	-0.3373161
3002	26.7458	2.024801	2.745215
3003	26.7458	3.052564	1.392357
3004	26.7458	2.641397	2.095645
3005	26.7458	3.534534	-0.00457
3006	26.7458	3.335716	0.750303
3007	26.7458	-2.534077	-2.302626
3008	26.7458	-3.058468	-0.7007948
3009	26.7458	-2.826035	-1.462252
3010	26.7458	3.199303	-1.445288
3011	26.7458	-2.059618	2.86359
3012	26.7458	-0.5034838	3.577915
3013	26.7458	2.854642	-2.189778
3014	26.7458	-1.462353	3.726963
3015	26.7458	-3.248616	1.210533
3016	26.7458	1.190918	-3.046903
3017	26.7458	0.7558796	4.512347
3018	26.7458	-3.772273	0.2787788
3019	26.7458	-0.2063382	4.624726
3020	26.7458	1.702721	4.266482
3021	26.7458	-1.12537	4.659686
3022	26.7458	-1.920079	4.673689
3023	26.7458	3.186621	3.362244
3024	26.7458	2.485147	3.897585
3025	26.7458	-4.232945	1.636345
3026	26.7458	-2.918466	3.296238
3027	26.7458	3.630117	2.667346
3028	26.7458	-3.65889	2.554537
3029	26.7458	4.473595	0.0641
3030	26.7458	4.374466	0.9949617
3031	26.7458	-4.700953	0.5713274
3032	26.7458	4.122924	-1.791993
3033	26.7458	4.375611	-0.8400253
3034	26.7458	-2.747617	-4.117085
3035	26.7458	-3.119745	-3.461433
3036	26.7458	-4.013738	-0.7151507
3037	26.7458	3.638659	-2.715468
3038	26.7458	2.087048	-2.707954
3039	26.7458	0.1680262	-3.477355
3040	26.7458	1.646559	-4.051811
3041	26.7458	-1.885787	-4.133477
3042	26.7458	-0.8727888	-3.901992
3043	26.7458	1.086472	5.608416
3044	26.7458	2.150552	5.30635
